Language,Metric,Average Score,Slope,Intercept,R-value,P-value,Std Err
Arabic,BLEU,0.3095713683737026,2.7195762874353307e-06,0.293940603661668,0.03632323234174604,9.816706168265948e-05,6.979627742131014e-07
Arabic,SacreBLEU,0.3595559553942134,7.974608423271136e-06,0.31372189348146257,0.10798562149265288,3.67264579819032e-31,6.84854976682646e-07
Arabic,METEOR,0.5425215199219767,-2.035873046165724e-06,0.5542227002548142,-0.03001058154262825,0.0012917269482710914,6.325324553895179e-07
Arabic,BERTScore,0.888754417735721,4.898796354520392e-07,0.8859388345309603,0.027624994957151826,0.0030572634176951677,1.6535738392953663e-07
