Language,Metric,Average Score,Slope,Intercept,R-value,P-value,Std Err
Arabic,BLEU,0.4690039686725861,3.5085617812777835e-06,0.44883850983469203,0.0450765416296345,1.3341959429905849e-06,7.253357141718782e-07
Arabic,SacreBLEU,0.5147069785956602,6.989675372696549e-06,0.47453381939108674,0.09618959813516244,4.876583241884237e-25,6.747029249692826e-07
Arabic,METEOR,0.6923780539517066,3.0032371802170065e-06,0.6751169482584094,0.052656504065614444,1.617480614280476e-08,5.312964069494649e-07
Arabic,BERTScore,0.9185753773145309,1.0297767315831268e-06,0.9126567355497569,0.06708864073355579,6.025315174822853e-13,1.4286199546159887e-07
