Language,Metric,Average Score,Slope,Intercept,R-value,P-value,Std Err
Arabic,BLEU,0.37468077155431784,-8.44481126066554e-06,0.4232131018693627,-0.11601359499118866,9.83233471555989e-36,6.744654167088914e-07
Arabic,SacreBLEU,0.4271055723487135,-3.985406953118875e-06,0.45000970610828767,-0.05786493987236032,5.367625432765209e-10,6.414310075467437e-07
Arabic,METEOR,0.6739015502276219,-9.60315673265574e-06,0.7290908919701944,-0.1632430474161352,1.8266489931862559e-69,5.414212642821004e-07
Arabic,BERTScore,0.9552900672404934,-1.1425452560059846e-06,0.9618562748267597,-0.14045555039011362,1.0112060397223647e-51,7.513269113929472e-08
Spanish,BLEU,0.40707205372994537,-7.90421044632479e-06,0.4524975511649739,-0.10656700845341771,2.195407436208391e-30,6.879813407337481e-07
Spanish,SacreBLEU,0.4611262547934005,-3.1149967484972137e-06,0.479028141107014,-0.0450080132887842,1.3858861117804128e-06,6.449833689228585e-07
Spanish,METEOR,0.690662900218653,-6.624639999473091e-06,0.7287347062956248,-0.12054970970051873,1.8222459178755232e-38,5.089069867842043e-07
Spanish,BERTScore,0.9610764518798949,-4.2091529159632766e-07,0.963495452060699,-0.05761435456795523,6.368347055138025e-10,6.803980963019966e-08
