Language,Metric,Average Score,Slope,Intercept,R-value,P-value,Std Err
Arabic,BLEU,0.35524714171141086,8.551354294739983e-06,0.3060982329023928,0.10412953246166369,4.4145270622663847e-29,7.618961805170693e-07
Arabic,SacreBLEU,0.40216310591251037,1.3128469918187438e-05,0.3267072250577281,0.16472686419421018,1.0090200374833736e-70,7.332940764181327e-07
Arabic,METEOR,0.5811872715975768,3.1170933727273407e-06,0.5632717774378264,0.044807653179326334,1.5419330788580579e-06,6.482811511590437e-07
Arabic,BERTScore,0.8948491905406389,1.072813142487138e-06,0.8886831970041941,0.05689774156159077,1.0325683519648509e-09,1.7560105693971352e-07
