Language,Metric,Average Score,Slope,Intercept,R-value,P-value,Std Err
Arabic,BLEU,0.3792274408357596,-8.63063944584498e-06,0.4288277257310307,-0.1170730663174891,2.3124744643260738e-36,6.829835461513922e-07
Arabic,SacreBLEU,0.43486191780716577,-4.188452242578776e-06,0.458932952845266,-0.060148685703355215,1.0936365286501818e-10,6.484275814328932e-07
Arabic,METEOR,0.6764932430198559,-9.732159248886042e-06,0.732423962223204,-0.16409995328639435,3.4690461227497925e-70,5.457505067651976e-07
Arabic,BERTScore,0.9570884966387675,-1.1888250917661818e-06,0.9639206744411477,-0.14859613646036451,9.633574584817493e-58,7.380452960999627e-08
Spanish,BLEU,0.41467832152765194,-7.308981442371349e-06,0.4566830378769601,-0.09732929663783627,1.3477023104169551e-25,6.972162855632521e-07
Spanish,SacreBLEU,0.47073568389756926,-2.477300564452339e-06,0.48497273024147686,-0.035476682155161164,0.0001423344857333956,6.510034943154487e-07
Spanish,METEOR,0.6965155368610104,-6.070600546824295e-06,0.7314032782036096,-0.11016178543660775,2.2918548914862035e-32,5.109406328201344e-07
Spanish,BERTScore,0.9639155522169088,-3.613284112415707e-07,0.9659921065963142,-0.053229778356709605,1.1301097720279457e-08,6.323425423830371e-08
