Language,Metric,Average Score,Slope,Intercept,R-value,P-value,Std Err
Arabic,BLEU,0.5174119466735695,7.763119061463828e-06,0.47279341986780615,0.09556461356147232,9.834087491817902e-25,7.543086732306175e-07
Arabic,SacreBLEU,0.5562242568175172,9.761242516567158e-06,0.5001215154535474,0.12926730657608781,5.088130291123194e-44,6.984887207163595e-07
Arabic,METEOR,0.7256600271042619,5.114680991592804e-06,0.6962633981050823,0.08990165178244976,4.596797532291275e-22,5.285558574827918e-07
Arabic,BERTScore,0.9266380689103478,1.6329130424732879e-06,0.9172529011987326,0.1065551180513661,2.2154425587397162e-30,1.4213837397492603e-07
