Language,Metric,Average Score,Slope,Intercept,R-value,P-value,Std Err
Arabic,BLEU,0.4666624299450191,3.865033590068546e-06,0.44444814938610017,0.049763439987554524,9.40453968431835e-08,7.23613498123439e-07
Arabic,SacreBLEU,0.5131451694732551,7.317080019472485e-06,0.4710902520613369,0.10083922509996428,2.287894873910359e-27,6.7342792391934e-07
Arabic,METEOR,0.6903881117570562,3.2602374609197864e-06,0.6716498969504197,0.05706681739868439,9.214054383517615e-10,5.320585805283763e-07
Arabic,BERTScore,0.9163672962001205,1.136658596242141e-06,0.9098343509182187,0.07260288789665693,6.533298236623421e-15,1.456567739450532e-07
