Language,Metric,Average Score,Slope,Intercept,R-value,P-value,Std Err
Arabic,BLEU,0.30784110019616756,1.2268105455812932e-06,0.3007900065854391,0.016548337991745286,0.07605040505455876,6.914580481199759e-07
Arabic,SacreBLEU,0.35883172252028245,6.432053640074365e-06,0.32186349422395505,0.08765315910802188,4.757767139505909e-21,6.818823902816052e-07
Arabic,METEOR,0.5410670159240893,-3.47264530946266e-06,0.561026044840226,-0.051320569977024624,3.689349546979229e-08,6.30374258879828e-07
Arabic,BERTScore,0.8863274986554752,1.203024046364544e-07,0.8856360605848272,0.006689351324798205,0.4733149399866672,1.6775782115541834e-07
